Output variable;Function to compute the output variable;Comment;To what extent derived from theory?a;To what extent empirically backed?
relationship P1;CON = 1/(CT+1);quote q3 mentions the “reward” but if each group member performed up to its own capacity would feed an inconsistency between the effort (100%) and the reward/outcome (1/n);CT ? CON:;
=> CON;=> CON = 1/n;;q1: “We believe that social loafing occurs because there is usually a stronger perceived contingency between individual effort and valued outcomes when working individually. When working collectively, factors other than the individual's effort frequently determine performance, and valued outcomes are often divided among all of the group members.“ Karau & Williams, S. 684 (1993);
;;;;
;;;q2: “which both suggest that individuals' outcomes are more contingent on their efforts when working with others who are expected to perform poorly.“ Karau & Williams, S. 696 (1993);
;;;;
;;;q3: “the reward is psychologically divided equally among the participants, each getting 1/n units of reward” (Latané, 1979, S.830);
relationship P2;P = S/(S+CT+1);;q4:“[...]the amount of;
=> P;;;social pressure on the target person should;
;;;increase as a multiplicative function of the;
;;;strength, immediacy, and number of these;
;;;other persons.” (Latané, 1979, S.823);
;;;=> derived from theory;
;;;;
;;;q5: “Impact is divided up among the group members,;
;;;in much the same way that responsibility;
;;;for helping seems to be divided among witnesses;
;;;to an emergency” (Latané, 1979, S.823);
;;;=> derived from theory;
;;;;
;;;q6: “If a person is the target of social forces, increasing the number of other persons also in the target group should diminish the pressures on each individual because the impact is divided among the group members.” (Latané, 1979, S. 830);
;;;;
;;;CT ? P:;
;;;q7: “The more people who are the target of this pressure, the less pressure should be felt by any one person.” (Latané, 1979, S. 823);
;;;;
;;;=> derived from theory;
;;;;
;;;q8: “increased group size to result in reduced effort” (Latané, 1979, S. 823);
relationship P3;get_IE <- function(INC, P, LE) {;we added the effort matching condition/variable later on, no real mathematical relation could be found in the underlying paper;q9: “Latane further suggests that just as;
=> IE;  # the Social Loafing baseline (Latané);;psychophysical reactions to external stimuli;
;  # whilst CT increases, the output decreases;this function includes one of two sources of variability between the subjects cause we added the noise term on top of it (but only in the superfunction version of it);can be described in terms of a power law (Stevens, 1957), so also should reactions to social stimuli, but with an exponent having an absolute value less than 1, so that the nth person should have less effect than the (n - l)th.” (Latané, 1979, S. 823);
;  loafing_effort <- 0.5 * INC + 0.5 * P;;=> derived from theory;
;  ;For this function, it was reasonable to present the full R code.;;
;  # the effort matching logic;;P ? IE:;
;"  # we're definign fix values which represent the expectation for the ""alone""-";;q10: “The more people who are the target of this pressure, the less pressure should be felt by any one person. Since people are likely to work hard in proportion to the pressure they feel to do so, we should expect increased group size to result in reduced efforts on the part of individual group members.” (Latané, 1979, S. 823);
;  # condition of other subjects (independent of the current group size);;;
;  final_IE <- case_when(;;;
;"    # condition: co-Target is not loafing in its ""alone""-condition";;q11: “If a person is the target of social forces, increasing the number of other persons also in the target group should diminish the pressures on each individual because the impact is divided among the group members. In a group performance situation in which pressures to work come from outside the group and individual outputs are not identifiable, this division of impact should lead each individual to work less hard. Thus, whether the subject is dividing up the amount of work he thinks should be performed or whether he is dividing up the amount of reward he expects to earn with his work, he should work less hard in groups.” (Latané, 1979, S. 830);
;"    LE == ""match_high"" ~ 0.9, ";;;
;    ;;q12: “in fact, participants matched their own efforts to these new expectations” (Jackson & Harkins, 1985, S.1199);
;"    # condition: Co-Target is loafing in its ""alone""-condition";;;
;"    LE == ""match_low""  ~ 0.4, ";;;
;    ;;q13: “by matching the effort levels they expect from their partners” (Jackson & Harkins, 1985, S.1200);
;    # In der no_info Bedingung greift das klassische Modell (Loafing);;;
;"    LE == ""no_info""    ~ loafing_effort,";;=> derived from theory ;
;    ;;;
;    TRUE                ~ loafing_effort;;;
;  );;;
;  ;;;
;  return(final_IE);;;
;};;;
relationship t1;INC = CON;;q14: “Thus, under these assumptions, if his own performance cannot be individually monitored, an individual's incentive to perform should be proportional to l/n.” (Latané, 1979, S. 830);
=> INC;;;=> derived from theory;
relationship t2;IO = MC * IE;since we need so compute a manifest outcome for each person and therefore for the experimental group means we had to multiply the percentage of individual effort with the maximum capacity;q15: “as with rope pulling, output can be measured in simple physical units that make up a ration scale” ;
=> IO;;;=> derived from theory;
relationship t3;get_LE <- function(EMC) {;we transformed the manifest construct/variable EMC into the latent construct/variable LE what created the need for such transformation;=> Not based on focal theory, but rather on common sense or other theories;
=> LE;  LE <- case_match(EMC,;;;
;"                    1 ~ ""match_low"",";;;
;"                    2 ~ ""no_info"",";;;
;"                    3 ~ ""match_high""";;;
;  );;;
;  return(LE);;;
;};;;
